location,level,normalThreshold,alertThreshold,criticalThreshold,recordedAt
Ja-Ela,3.15,2.0,3.0,3.8,2024-03-28T00:00:00.000Z
Negombo,2.49,2.0,3.0,3.8,2024-03-28T00:00:00.000Z
Minuwangoda,2.98,2.0,3.0,3.8,2024-03-29T00:00:00.000Z
Gampaha,3.23,2.0,3.0,3.8,2024-03-29T00:00:00.000Z
Ja-Ela,2.22,2.0,3.0,3.8,2024-03-29T00:00:00.000Z
Negombo,3.23,2.0,3.0,3.8,2024-03-29T00:00:00.000Z
Minuwangoda,2.60,2.0,3.0,3.8,2024-03-30T00:00:00.000Z
Gampaha,2.57,2.0,3.0,3.8,2024-03-30T00:00:00.000Z
Ja-Ela,2.15,2.0,3.0,3.8,2024-03-30T00:00:00.000Z
Negombo,2.91,2.0,3.0,3.8,2024-03-30T00:00:00.000Z
Minuwangoda,2.27,2.0,3.0,3.8,2024-03-31T00:00:00.000Z
Gampaha,3.16,2.0,3.0,3.8,2024-03-31T00:00:00.000Z
Ja-Ela,3.12,2.0,3.0,3.8,2024-03-31T00:00:00.000Z
Negombo,2.50,2.0,3.0,3.8,2024-03-31T00:00:00.000Z
Minuwangoda,2.08,2.0,3.0,3.8,2024-04-01T00:00:00.000Z
Gampaha,2.71,2.0,3.0,3.8,2024-04-01T00:00:00.000Z
Ja-Ela,2.07,2.0,3.0,3.8,2024-04-01T00:00:00.000Z
Negombo,2.39,2.0,3.0,3.8,2024-04-01T00:00:00.000Z
Minuwangoda,3.41,2.0,3.0,3.8,2024-04-02T00:00:00.000Z
Gampaha,2.05,2.0,3.0,3.8,2024-04-02T00:00:00.000Z
Ja-Ela,3.26,2.0,3.0,3.8,2024-04-02T00:00:00.000Z
Negombo,3.30,2.0,3.0,3.8,2024-04-02T00:00:00.000Z
Minuwangoda,3.15,2.0,3.0,3.8,2024-04-03T00:00:00.000Z
Gampaha,3.29,2.0,3.0,3.8,2024-04-03T00:00:00.000Z
Ja-Ela,2.55,2.0,3.0,3.8,2024-04-03T00:00:00.000Z
Negombo,2.95,2.0,3.0,3.8,2024-04-03T00:00:00.000Z
Minuwangoda,3.24,2.0,3.0,3.8,2024-04-04T00:00:00.000Z
Gampaha,2.85,2.0,3.0,3.8,2024-04-04T00:00:00.000Z
Ja-Ela,3.16,2.0,3.0,3.8,2024-04-04T00:00:00.000Z
Negombo,3.01,2.0,3.0,3.8,2024-04-04T00:00:00.000Z
Minuwangoda,3.11,2.0,3.0,3.8,2024-04-05T00:00:00.000Z
Gampaha,2.27,2.0,3.0,3.8,2024-04-05T00:00:00.000Z
Ja-Ela,2.86,2.0,3.0,3.8,2024-04-05T00:00:00.000Z
Negombo,2.43,2.0,3.0,3.8,2024-04-05T00:00:00.000Z
Minuwangoda,2.78,2.0,3.0,3.8,2024-04-06T00:00:00.000Z
Gampaha,2.89,2.0,3.0,3.8,2024-04-06T00:00:00.000Z
Ja-Ela,2.59,2.0,3.0,3.8,2024-04-06T00:00:00.000Z
Negombo,3.25,2.0,3.0,3.8,2024-04-06T00:00:00.000Z
Minuwangoda,3.48,2.0,3.0,3.8,2024-04-07T00:00:00.000Z
Gampaha,3.09,2.0,3.0,3.8,2024-04-07T00:00:00.000Z
Ja-Ela,2.31,2.0,3.0,3.8,2024-04-07T00:00:00.000Z
Negombo,2.06,2.0,3.0,3.8,2024-04-07T00:00:00.000Z
Minuwangoda,3.04,2.0,3.0,3.8,2024-04-08T00:00:00.000Z
Gampaha,2.86,2.0,3.0,3.8,2024-04-08T00:00:00.000Z
Ja-Ela,3.34,2.0,3.0,3.8,2024-04-08T00:00:00.000Z
Negombo,2.38,2.0,3.0,3.8,2024-04-08T00:00:00.000Z
Minuwangoda,2.23,2.0,3.0,3.8,2024-04-09T00:00:00.000Z
Gampaha,3.21,2.0,3.0,3.8,2024-04-09T00:00:00.000Z
Ja-Ela,3.15,2.0,3.0,3.8,2024-04-09T00:00:00.000Z
Negombo,2.65,2.0,3.0,3.8,2024-04-09T00:00:00.000Z
Minuwangoda,3.38,2.0,3.0,3.8,2024-04-10T00:00:00.000Z
Gampaha,3.15,2.0,3.0,3.8,2024-04-10T00:00:00.000Z
Ja-Ela,2.61,2.0,3.0,3.8,2024-04-10T00:00:00.000Z
Negombo,3.45,2.0,3.0,3.8,2024-04-10T00:00:00.000Z
Minuwangoda,2.80,2.0,3.0,3.8,2024-04-11T00:00:00.000Z
Gampaha,2.95,2.0,3.0,3.8,2024-04-11T00:00:00.000Z
Ja-Ela,2.35,2.0,3.0,3.8,2024-04-11T00:00:00.000Z
Negombo,3.27,2.0,3.0,3.8,2024-04-11T00:00:00.000Z
Minuwangoda,2.79,2.0,3.0,3.8,2024-04-12T00:00:00.000Z
Gampaha,3.16,2.0,3.0,3.8,2024-04-12T00:00:00.000Z
Ja-Ela,2.73,2.0,3.0,3.8,2024-04-12T00:00:00.000Z
Negombo,2.15,2.0,3.0,3.8,2024-04-12T00:00:00.000Z
Minuwangoda,2.22,2.0,3.0,3.8,2024-04-13T00:00:00.000Z
Gampaha,3.25,2.0,3.0,3.8,2024-04-13T00:00:00.000Z
Ja-Ela,2.22,2.0,3.0,3.8,2024-04-13T00:00:00.000Z
Negombo,2.71,2.0,3.0,3.8,2024-04-13T00:00:00.000Z
Minuwangoda,3.43,2.0,3.0,3.8,2024-04-14T00:00:00.000Z
Gampaha,3.14,2.0,3.0,3.8,2024-04-14T00:00:00.000Z
Ja-Ela,2.91,2.0,3.0,3.8,2024-04-14T00:00:00.000Z
Negombo,2.67,2.0,3.0,3.8,2024-04-14T00:00:00.000Z
Minuwangoda,3.18,2.0,3.0,3.8,2024-04-15T00:00:00.000Z
Gampaha,3.00,2.0,3.0,3.8,2024-04-15T00:00:00.000Z
Ja-Ela,2.68,2.0,3.0,3.8,2024-04-15T00:00:00.000Z
Negombo,2.39,2.0,3.0,3.8,2024-04-15T00:00:00.000Z
Minuwangoda,2.12,2.0,3.0,3.8,2024-04-16T00:00:00.000Z
Gampaha,2.24,2.0,3.0,3.8,2024-04-16T00:00:00.000Z
Ja-Ela,2.81,2.0,3.0,3.8,2024-04-16T00:00:00.000Z
Negombo,2.47,2.0,3.0,3.8,2024-04-16T00:00:00.000Z
Minuwangoda,2.54,2.0,3.0,3.8,2024-04-17T00:00:00.000Z
Gampaha,3.27,2.0,3.0,3.8,2024-04-17T00:00:00.000Z
Ja-Ela,3.09,2.0,3.0,3.8,2024-04-17T00:00:00.000Z
Negombo,2.16,2.0,3.0,3.8,2024-04-17T00:00:00.000Z
Minuwangoda,2.45,2.0,3.0,3.8,2024-04-18T00:00:00.000Z
Gampaha,2.64,2.0,3.0,3.8,2024-04-18T00:00:00.000Z
Ja-Ela,2.11,2.0,3.0,3.8,2024-04-18T00:00:00.000Z
Negombo,2.71,2.0,3.0,3.8,2024-04-18T00:00:00.000Z
Minuwangoda,2.28,2.0,3.0,3.8,2024-04-19T00:00:00.000Z
Gampaha,2.38,2.0,3.0,3.8,2024-04-19T00:00:00.000Z
Ja-Ela,2.11,2.0,3.0,3.8,2024-04-19T00:00:00.000Z
Negombo,2.74,2.0,3.0,3.8,2024-04-19T00:00:00.000Z
Minuwangoda,3.22,2.0,3.0,3.8,2024-04-20T00:00:00.000Z
Gampaha,3.08,2.0,3.0,3.8,2024-04-20T00:00:00.000Z
Ja-Ela,2.10,2.0,3.0,3.8,2024-04-20T00:00:00.000Z
Negombo,2.60,2.0,3.0,3.8,2024-04-20T00:00:00.000Z
Minuwangoda,2.64,2.0,3.0,3.8,2024-04-21T00:00:00.000Z
Gampaha,2.70,2.0,3.0,3.8,2024-04-21T00:00:00.000Z
Ja-Ela,2.38,2.0,3.0,3.8,2024-04-21T00:00:00.000Z
Negombo,3.02,2.0,3.0,3.8,2024-04-21T00:00:00.000Z
Minuwangoda,2.89,2.0,3.0,3.8,2024-04-22T00:00:00.000Z
Gampaha,3.10,2.0,3.0,3.8,2024-04-22T00:00:00.000Z
Ja-Ela,2.04,2.0,3.0,3.8,2024-04-22T00:00:00.000Z
Negombo,2.37,2.0,3.0,3.8,2024-04-22T00:00:00.000Z
Minuwangoda,2.28,2.0,3.0,3.8,2024-04-23T00:00:00.000Z
Gampaha,2.31,2.0,3.0,3.8,2024-04-23T00:00:00.000Z
Ja-Ela,2.87,2.0,3.0,3.8,2024-04-23T00:00:00.000Z
Negombo,2.82,2.0,3.0,3.8,2024-04-23T00:00:00.000Z
Minuwangoda,2.71,2.0,3.0,3.8,2024-04-24T00:00:00.000Z
Gampaha,2.63,2.0,3.0,3.8,2024-04-24T00:00:00.000Z
Ja-Ela,2.78,2.0,3.0,3.8,2024-04-24T00:00:00.000Z
Negombo,3.14,2.0,3.0,3.8,2024-04-24T00:00:00.000Z
Minuwangoda,2.26,2.0,3.0,3.8,2024-04-25T00:00:00.000Z
Gampaha,2.64,2.0,3.0,3.8,2024-04-25T00:00:00.000Z
Ja-Ela,3.27,2.0,3.0,3.8,2024-04-25T00:00:00.000Z
Negombo,3.23,2.0,3.0,3.8,2024-04-25T00:00:00.000Z
Minuwangoda,2.93,2.0,3.0,3.8,2024-04-26T00:00:00.000Z
Gampaha,3.25,2.0,3.0,3.8,2024-04-26T00:00:00.000Z
Ja-Ela,3.11,2.0,3.0,3.8,2024-04-26T00:00:00.000Z
Negombo,3.33,2.0,3.0,3.8,2024-04-26T00:00:00.000Z
Minuwangoda,3.42,2.0,3.0,3.8,2024-04-27T00:00:00.000Z
Gampaha,2.62,2.0,3.0,3.8,2024-04-27T00:00:00.000Z
Ja-Ela,2.04,2.0,3.0,3.8,2024-04-27T00:00:00.000Z
Negombo,2.16,2.0,3.0,3.8,2024-04-27T00:00:00.000Z
Minuwangoda,2.29,2.0,3.0,3.8,2024-04-28T00:00:00.000Z
Gampaha,3.05,2.0,3.0,3.8,2024-04-28T00:00:00.000Z
Ja-Ela,2.74,2.0,3.0,3.8,2024-04-28T00:00:00.000Z
Negombo,2.73,2.0,3.0,3.8,2024-04-28T00:00:00.000Z
Minuwangoda,2.32,2.0,3.0,3.8,2024-04-29T00:00:00.000Z
Gampaha,2.31,2.0,3.0,3.8,2024-04-29T00:00:00.000Z
Ja-Ela,2.80,2.0,3.0,3.8,2024-04-29T00:00:00.000Z
Negombo,2.44,2.0,3.0,3.8,2024-04-29T00:00:00.000Z
Minuwangoda,3.29,2.0,3.0,3.8,2024-04-30T00:00:00.000Z
Gampaha,2.56,2.0,3.0,3.8,2024-04-30T00:00:00.000Z
Ja-Ela,2.89,2.0,3.0,3.8,2024-04-30T00:00:00.000Z
Negombo,3.39,2.0,3.0,3.8,2024-04-30T00:00:00.000Z
Minuwangoda,3.49,2.0,3.0,3.8,2024-05-01T00:00:00.000Z
Gampaha,3.49,2.0,3.0,3.8,2024-05-01T00:00:00.000Z
Ja-Ela,4.15,2.0,3.0,3.8,2024-05-01T00:00:00.000Z
Negombo,3.26,2.0,3.0,3.8,2024-05-01T00:00:00.000Z
Minuwangoda,3.67,2.0,3.0,3.8,2024-05-02T00:00:00.000Z
Gampaha,3.59,2.0,3.0,3.8,2024-05-02T00:00:00.000Z
Ja-Ela,3.79,2.0,3.0,3.8,2024-05-02T00:00:00.000Z
Negombo,3.19,2.0,3.0,3.8,2024-05-02T00:00:00.000Z
Minuwangoda,3.82,2.0,3.0,3.8,2024-05-03T00:00:00.000Z
Gampaha,3.70,2.0,3.0,3.8,2024-05-03T00:00:00.000Z
Ja-Ela,4.70,2.0,3.0,3.8,2024-05-03T00:00:00.000Z
Negombo,4.85,2.0,3.0,3.8,2024-05-03T00:00:00.000Z
Minuwangoda,3.51,2.0,3.0,3.8,2024-05-04T00:00:00.000Z
Gampaha,3.83,2.0,3.0,3.8,2024-05-04T00:00:00.000Z
Ja-Ela,4.07,2.0,3.0,3.8,2024-05-04T00:00:00.000Z
Negombo,3.17,2.0,3.0,3.8,2024-05-04T00:00:00.000Z
Minuwangoda,3.95,2.0,3.0,3.8,2024-05-05T00:00:00.000Z
Gampaha,3.08,2.0,3.0,3.8,2024-05-05T00:00:00.000Z
Ja-Ela,3.70,2.0,3.0,3.8,2024-05-05T00:00:00.000Z
Negombo,4.76,2.0,3.0,3.8,2024-05-05T00:00:00.000Z
Minuwangoda,4.63,2.0,3.0,3.8,2024-05-06T00:00:00.000Z
Gampaha,4.00,2.0,3.0,3.8,2024-05-06T00:00:00.000Z
Ja-Ela,4.97,2.0,3.0,3.8,2024-05-06T00:00:00.000Z
Negombo,3.69,2.0,3.0,3.8,2024-05-06T00:00:00.000Z
Minuwangoda,4.65,2.0,3.0,3.8,2024-05-07T00:00:00.000Z
Gampaha,4.66,2.0,3.0,3.8,2024-05-07T00:00:00.000Z
Ja-Ela,3.91,2.0,3.0,3.8,2024-05-07T00:00:00.000Z
Negombo,4.42,2.0,3.0,3.8,2024-05-07T00:00:00.000Z
Minuwangoda,3.07,2.0,3.0,3.8,2024-05-08T00:00:00.000Z
Gampaha,3.84,2.0,3.0,3.8,2024-05-08T00:00:00.000Z
Ja-Ela,4.72,2.0,3.0,3.8,2024-05-08T00:00:00.000Z
Negombo,4.70,2.0,3.0,3.8,2024-05-08T00:00:00.000Z
Minuwangoda,4.02,2.0,3.0,3.8,2024-05-09T00:00:00.000Z
Gampaha,4.77,2.0,3.0,3.8,2024-05-09T00:00:00.000Z
Ja-Ela,4.55,2.0,3.0,3.8,2024-05-09T00:00:00.000Z
Negombo,3.40,2.0,3.0,3.8,2024-05-09T00:00:00.000Z
Minuwangoda,4.58,2.0,3.0,3.8,2024-05-10T00:00:00.000Z
Gampaha,4.26,2.0,3.0,3.8,2024-05-10T00:00:00.000Z
Ja-Ela,4.74,2.0,3.0,3.8,2024-05-10T00:00:00.000Z
Negombo,4.89,2.0,3.0,3.8,2024-05-10T00:00:00.000Z
Minuwangoda,3.99,2.0,3.0,3.8,2024-05-11T00:00:00.000Z
Gampaha,3.34,2.0,3.0,3.8,2024-05-11T00:00:00.000Z
Ja-Ela,4.09,2.0,3.0,3.8,2024-05-11T00:00:00.000Z
Negombo,3.70,2.0,3.0,3.8,2024-05-11T00:00:00.000Z
Minuwangoda,4.13,2.0,3.0,3.8,2024-05-12T00:00:00.000Z
Gampaha,3.14,2.0,3.0,3.8,2024-05-12T00:00:00.000Z
Ja-Ela,3.62,2.0,3.0,3.8,2024-05-12T00:00:00.000Z
Negombo,4.57,2.0,3.0,3.8,2024-05-12T00:00:00.000Z
Minuwangoda,3.46,2.0,3.0,3.8,2024-05-13T00:00:00.000Z
Gampaha,4.51,2.0,3.0,3.8,2024-05-13T00:00:00.000Z
Ja-Ela,4.00,2.0,3.0,3.8,2024-05-13T00:00:00.000Z
Negombo,3.25,2.0,3.0,3.8,2024-05-13T00:00:00.000Z
Minuwangoda,4.67,2.0,3.0,3.8,2024-05-14T00:00:00.000Z
Gampaha,3.34,2.0,3.0,3.8,2024-05-14T00:00:00.000Z
Ja-Ela,3.67,2.0,3.0,3.8,2024-05-14T00:00:00.000Z
Negombo,4.13,2.0,3.0,3.8,2024-05-14T00:00:00.000Z
Minuwangoda,4.68,2.0,3.0,3.8,2024-05-15T00:00:00.000Z
Gampaha,4.85,2.0,3.0,3.8,2024-05-15T00:00:00.000Z
Ja-Ela,3.55,2.0,3.0,3.8,2024-05-15T00:00:00.000Z
Negombo,3.47,2.0,3.0,3.8,2024-05-15T00:00:00.000Z
Minuwangoda,4.55,2.0,3.0,3.8,2024-05-16T00:00:00.000Z
Gampaha,3.56,2.0,3.0,3.8,2024-05-16T00:00:00.000Z
Ja-Ela,3.90,2.0,3.0,3.8,2024-05-16T00:00:00.000Z
Negombo,4.69,2.0,3.0,3.8,2024-05-16T00:00:00.000Z
Minuwangoda,3.54,2.0,3.0,3.8,2024-05-17T00:00:00.000Z
Gampaha,3.80,2.0,3.0,3.8,2024-05-17T00:00:00.000Z
Ja-Ela,3.09,2.0,3.0,3.8,2024-05-17T00:00:00.000Z
Negombo,3.59,2.0,3.0,3.8,2024-05-17T00:00:00.000Z
Minuwangoda,4.67,2.0,3.0,3.8,2024-05-18T00:00:00.000Z
Gampaha,4.73,2.0,3.0,3.8,2024-05-18T00:00:00.000Z
Ja-Ela,3.26,2.0,3.0,3.8,2024-05-18T00:00:00.000Z
Negombo,3.86,2.0,3.0,3.8,2024-05-18T00:00:00.000Z
Minuwangoda,4.98,2.0,3.0,3.8,2024-05-19T00:00:00.000Z
Gampaha,3.73,2.0,3.0,3.8,2024-05-19T00:00:00.000Z
Ja-Ela,4.67,2.0,3.0,3.8,2024-05-19T00:00:00.000Z
Negombo,3.96,2.0,3.0,3.8,2024-05-19T00:00:00.000Z
Minuwangoda,3.21,2.0,3.0,3.8,2024-05-20T00:00:00.000Z
Gampaha,3.86,2.0,3.0,3.8,2024-05-20T00:00:00.000Z
Ja-Ela,4.11,2.0,3.0,3.8,2024-05-20T00:00:00.000Z
Negombo,3.65,2.0,3.0,3.8,2024-05-20T00:00:00.000Z
Minuwangoda,3.67,2.0,3.0,3.8,2024-05-21T00:00:00.000Z
Gampaha,4.83,2.0,3.0,3.8,2024-05-21T00:00:00.000Z
Ja-Ela,3.99,2.0,3.0,3.8,2024-05-21T00:00:00.000Z
Negombo,3.48,2.0,3.0,3.8,2024-05-21T00:00:00.000Z
Minuwangoda,4.17,2.0,3.0,3.8,2024-05-22T00:00:00.000Z
Gampaha,4.66,2.0,3.0,3.8,2024-05-22T00:00:00.000Z
Ja-Ela,3.07,2.0,3.0,3.8,2024-05-22T00:00:00.000Z
Negombo,3.96,2.0,3.0,3.8,2024-05-22T00:00:00.000Z
Minuwangoda,4.38,2.0,3.0,3.8,2024-05-23T00:00:00.000Z
Gampaha,4.94,2.0,3.0,3.8,2024-05-23T00:00:00.000Z
Ja-Ela,4.64,2.0,3.0,3.8,2024-05-23T00:00:00.000Z
Negombo,4.31,2.0,3.0,3.8,2024-05-23T00:00:00.000Z
Minuwangoda,3.51,2.0,3.0,3.8,2024-05-24T00:00:00.000Z
Gampaha,3.21,2.0,3.0,3.8,2024-05-24T00:00:00.000Z
Ja-Ela,3.80,2.0,3.0,3.8,2024-05-24T00:00:00.000Z
Negombo,3.58,2.0,3.0,3.8,2024-05-24T00:00:00.000Z
Minuwangoda,3.09,2.0,3.0,3.8,2024-05-25T00:00:00.000Z
Gampaha,4.38,2.0,3.0,3.8,2024-05-25T00:00:00.000Z
Ja-Ela,4.79,2.0,3.0,3.8,2024-05-25T00:00:00.000Z
Negombo,3.25,2.0,3.0,3.8,2024-05-25T00:00:00.000Z
Minuwangoda,4.17,2.0,3.0,3.8,2024-05-26T00:00:00.000Z
Gampaha,3.23,2.0,3.0,3.8,2024-05-26T00:00:00.000Z
Ja-Ela,4.38,2.0,3.0,3.8,2024-05-26T00:00:00.000Z
Negombo,4.42,2.0,3.0,3.8,2024-05-26T00:00:00.000Z
Minuwangoda,4.42,2.0,3.0,3.8,2024-05-27T00:00:00.000Z
Gampaha,3.47,2.0,3.0,3.8,2024-05-27T00:00:00.000Z
Ja-Ela,3.92,2.0,3.0,3.8,2024-05-27T00:00:00.000Z
Negombo,4.36,2.0,3.0,3.8,2024-05-27T00:00:00.000Z
Minuwangoda,3.83,2.0,3.0,3.8,2024-05-28T00:00:00.000Z
Gampaha,4.76,2.0,3.0,3.8,2024-05-28T00:00:00.000Z
Ja-Ela,3.38,2.0,3.0,3.8,2024-05-28T00:00:00.000Z
Negombo,3.50,2.0,3.0,3.8,2024-05-28T00:00:00.000Z
Minuwangoda,3.81,2.0,3.0,3.8,2024-05-29T00:00:00.000Z
Gampaha,4.08,2.0,3.0,3.8,2024-05-29T00:00:00.000Z
Ja-Ela,4.72,2.0,3.0,3.8,2024-05-29T00:00:00.000Z
Negombo,4.60,2.0,3.0,3.8,2024-05-29T00:00:00.000Z
Minuwangoda,4.10,2.0,3.0,3.8,2024-05-30T00:00:00.000Z
Gampaha,4.23,2.0,3.0,3.8,2024-05-30T00:00:00.000Z
Ja-Ela,4.64,2.0,3.0,3.8,2024-05-30T00:00:00.000Z
Negombo,4.45,2.0,3.0,3.8,2024-05-30T00:00:00.000Z
Minuwangoda,3.08,2.0,3.0,3.8,2024-05-31T00:00:00.000Z
Gampaha,3.69,2.0,3.0,3.8,2024-05-31T00:00:00.000Z
Ja-Ela,3.97,2.0,3.0,3.8,2024-05-31T00:00:00.000Z
Negombo,3.49,2.0,3.0,3.8,2024-05-31T00:00:00.000Z
Minuwangoda,4.04,2.0,3.0,3.8,2024-06-01T00:00:00.000Z
Gampaha,3.28,2.0,3.0,3.8,2024-06-01T00:00:00.000Z
Ja-Ela,3.68,2.0,3.0,3.8,2024-06-01T00:00:00.000Z
Negombo,4.27,2.0,3.0,3.8,2024-06-01T00:00:00.000Z
Minuwangoda,3.13,2.0,3.0,3.8,2024-06-02T00:00:00.000Z
Gampaha,4.70,2.0,3.0,3.8,2024-06-02T00:00:00.000Z
Ja-Ela,3.03,2.0,3.0,3.8,2024-06-02T00:00:00.000Z
Negombo,4.49,2.0,3.0,3.8,2024-06-02T00:00:00.000Z
Minuwangoda,3.63,2.0,3.0,3.8,2024-06-03T00:00:00.000Z
Gampaha,3.71,2.0,3.0,3.8,2024-06-03T00:00:00.000Z
Ja-Ela,3.35,2.0,3.0,3.8,2024-06-03T00:00:00.000Z
Negombo,3.94,2.0,3.0,3.8,2024-06-03T00:00:00.000Z
Minuwangoda,3.99,2.0,3.0,3.8,2024-06-04T00:00:00.000Z
Gampaha,4.65,2.0,3.0,3.8,2024-06-04T00:00:00.000Z
Ja-Ela,4.76,2.0,3.0,3.8,2024-06-04T00:00:00.000Z
Negombo,3.16,2.0,3.0,3.8,2024-06-04T00:00:00.000Z
Minuwangoda,4.02,2.0,3.0,3.8,2024-06-05T00:00:00.000Z
Gampaha,3.47,2.0,3.0,3.8,2024-06-05T00:00:00.000Z
Ja-Ela,4.64,2.0,3.0,3.8,2024-06-05T00:00:00.000Z
Negombo,4.28,2.0,3.0,3.8,2024-06-05T00:00:00.000Z
Minuwangoda,4.91,2.0,3.0,3.8,2024-06-06T00:00:00.000Z
Gampaha,4.85,2.0,3.0,3.8,2024-06-06T00:00:00.000Z
Ja-Ela,3.82,2.0,3.0,3.8,2024-06-06T00:00:00.000Z
Negombo,3.19,2.0,3.0,3.8,2024-06-06T00:00:00.000Z
Minuwangoda,3.05,2.0,3.0,3.8,2024-06-07T00:00:00.000Z
Gampaha,4.38,2.0,3.0,3.8,2024-06-07T00:00:00.000Z
Ja-Ela,3.08,2.0,3.0,3.8,2024-06-07T00:00:00.000Z
Negombo,3.86,2.0,3.0,3.8,2024-06-07T00:00:00.000Z
Minuwangoda,4.24,2.0,3.0,3.8,2024-06-08T00:00:00.000Z
Gampaha,4.25,2.0,3.0,3.8,2024-06-08T00:00:00.000Z
Ja-Ela,4.66,2.0,3.0,3.8,2024-06-08T00:00:00.000Z
Negombo,4.62,2.0,3.0,3.8,2024-06-08T00:00:00.000Z
Minuwangoda,3.23,2.0,3.0,3.8,2024-06-09T00:00:00.000Z
Gampaha,3.03,2.0,3.0,3.8,2024-06-09T00:00:00.000Z
Ja-Ela,3.84,2.0,3.0,3.8,2024-06-09T00:00:00.000Z
Negombo,3.27,2.0,3.0,3.8,2024-06-09T00:00:00.000Z
Minuwangoda,4.60,2.0,3.0,3.8,2024-06-10T00:00:00.000Z
Gampaha,4.00,2.0,3.0,3.8,2024-06-10T00:00:00.000Z
Ja-Ela,3.03,2.0,3.0,3.8,2024-06-10T00:00:00.000Z
Negombo,4.59,2.0,3.0,3.8,2024-06-10T00:00:00.000Z
Minuwangoda,4.04,2.0,3.0,3.8,2024-06-11T00:00:00.000Z
Gampaha,3.93,2.0,3.0,3.8,2024-06-11T00:00:00.000Z
Ja-Ela,3.84,2.0,3.0,3.8,2024-06-11T00:00:00.000Z
Negombo,4.62,2.0,3.0,3.8,2024-06-11T00:00:00.000Z
Minuwangoda,3.53,2.0,3.0,3.8,2024-06-12T00:00:00.000Z
Gampaha,4.93,2.0,3.0,3.8,2024-06-12T00:00:00.000Z
Ja-Ela,4.44,2.0,3.0,3.8,2024-06-12T00:00:00.000Z
Negombo,3.24,2.0,3.0,3.8,2024-06-12T00:00:00.000Z
Minuwangoda,4.50,2.0,3.0,3.8,2024-06-13T00:00:00.000Z
Gampaha,4.23,2.0,3.0,3.8,2024-06-13T00:00:00.000Z
Ja-Ela,3.80,2.0,3.0,3.8,2024-06-13T00:00:00.000Z
Negombo,3.97,2.0,3.0,3.8,2024-06-13T00:00:00.000Z
Minuwangoda,3.17,2.0,3.0,3.8,2024-06-14T00:00:00.000Z
Gampaha,3.19,2.0,3.0,3.8,2024-06-14T00:00:00.000Z
Ja-Ela,3.96,2.0,3.0,3.8,2024-06-14T00:00:00.000Z
Negombo,4.58,2.0,3.0,3.8,2024-06-14T00:00:00.000Z
Minuwangoda,4.23,2.0,3.0,3.8,2024-06-15T00:00:00.000Z
Gampaha,4.21,2.0,3.0,3.8,2024-06-15T00:00:00.000Z
Ja-Ela,4.95,2.0,3.0,3.8,2024-06-15T00:00:00.000Z
Negombo,3.14,2.0,3.0,3.8,2024-06-15T00:00:00.000Z
Minuwangoda,3.81,2.0,3.0,3.8,2024-06-16T00:00:00.000Z
Gampaha,4.06,2.0,3.0,3.8,2024-06-16T00:00:00.000Z
Ja-Ela,4.50,2.0,3.0,3.8,2024-06-16T00:00:00.000Z
Negombo,3.93,2.0,3.0,3.8,2024-06-16T00:00:00.000Z
Minuwangoda,3.30,2.0,3.0,3.8,2024-06-17T00:00:00.000Z
Gampaha,4.18,2.0,3.0,3.8,2024-06-17T00:00:00.000Z
Ja-Ela,3.87,2.0,3.0,3.8,2024-06-17T00:00:00.000Z
Negombo,3.61,2.0,3.0,3.8,2024-06-17T00:00:00.000Z
Minuwangoda,3.69,2.0,3.0,3.8,2024-06-18T00:00:00.000Z
Gampaha,4.79,2.0,3.0,3.8,2024-06-18T00:00:00.000Z
Ja-Ela,4.97,2.0,3.0,3.8,2024-06-18T00:00:00.000Z
Negombo,4.19,2.0,3.0,3.8,2024-06-18T00:00:00.000Z
Minuwangoda,3.02,2.0,3.0,3.8,2024-06-19T00:00:00.000Z
Gampaha,3.38,2.0,3.0,3.8,2024-06-19T00:00:00.000Z
Ja-Ela,4.08,2.0,3.0,3.8,2024-06-19T00:00:00.000Z
Negombo,4.74,2.0,3.0,3.8,2024-06-19T00:00:00.000Z
Minuwangoda,3.93,2.0,3.0,3.8,2024-06-20T00:00:00.000Z
Gampaha,3.61,2.0,3.0,3.8,2024-06-20T00:00:00.000Z
Ja-Ela,4.13,2.0,3.0,3.8,2024-06-20T00:00:00.000Z
Negombo,3.45,2.0,3.0,3.8,2024-06-20T00:00:00.000Z
Minuwangoda,3.32,2.0,3.0,3.8,2024-06-21T00:00:00.000Z
Gampaha,4.38,2.0,3.0,3.8,2024-06-21T00:00:00.000Z
Ja-Ela,4.98,2.0,3.0,3.8,2024-06-21T00:00:00.000Z
Negombo,4.39,2.0,3.0,3.8,2024-06-21T00:00:00.000Z
Minuwangoda,3.07,2.0,3.0,3.8,2024-06-22T00:00:00.000Z
Gampaha,4.11,2.0,3.0,3.8,2024-06-22T00:00:00.000Z
Ja-Ela,3.43,2.0,3.0,3.8,2024-06-22T00:00:00.000Z
Negombo,3.71,2.0,3.0,3.8,2024-06-22T00:00:00.000Z
Minuwangoda,3.60,2.0,3.0,3.8,2024-06-23T00:00:00.000Z
Gampaha,3.80,2.0,3.0,3.8,2024-06-23T00:00:00.000Z
Ja-Ela,4.69,2.0,3.0,3.8,2024-06-23T00:00:00.000Z
Negombo,3.76,2.0,3.0,3.8,2024-06-23T00:00:00.000Z
Minuwangoda,3.32,2.0,3.0,3.8,2024-06-24T00:00:00.000Z
