location,temperature,humidity,pressure,rainfall,recordedAt,source
Negombo,30.8,69,1004,32.17,2024-06-30T00:00:00.000Z,Simulated
Minuwangoda,29.0,90,1002,27.31,2024-07-01T00:00:00.000Z,Simulated
Gampaha,27.9,68,1002,53.32,2024-07-01T00:00:00.000Z,Simulated
Ja-Ela,28.4,79,1009,72.65,2024-07-01T00:00:00.000Z,Simulated
Negombo,28.5,93,1003,3.19,2024-07-01T00:00:00.000Z,Simulated
Minuwangoda,27.4,93,1009,29.40,2024-07-02T00:00:00.000Z,Simulated
Gampaha,27.1,68,1006,1.52,2024-07-02T00:00:00.000Z,Simulated
Ja-Ela,29.6,72,1004,51.39,2024-07-02T00:00:00.000Z,Simulated
Negombo,30.7,74,1010,76.08,2024-07-02T00:00:00.000Z,Simulated
Minuwangoda,31.3,73,1002,49.59,2024-07-03T00:00:00.000Z,Simulated
Gampaha,27.2,75,1000,19.59,2024-07-03T00:00:00.000Z,Simulated
Ja-Ela,26.7,65,1002,27.30,2024-07-03T00:00:00.000Z,Simulated
Negombo,31.4,76,1000,66.96,2024-07-03T00:00:00.000Z,Simulated
Minuwangoda,31.8,86,1001,17.62,2024-07-04T00:00:00.000Z,Simulated
Gampaha,27.4,77,1010,21.37,2024-07-04T00:00:00.000Z,Simulated
Ja-Ela,27.1,86,1006,3.25,2024-07-04T00:00:00.000Z,Simulated
Negombo,31.4,84,1000,36.74,2024-07-04T00:00:00.000Z,Simulated
Minuwangoda,30.3,66,1007,35.87,2024-07-05T00:00:00.000Z,Simulated
Gampaha,27.3,74,1003,76.08,2024-07-05T00:00:00.000Z,Simulated
Ja-Ela,29.2,76,1006,11.37,2024-07-05T00:00:00.000Z,Simulated
Negombo,26.2,76,1009,49.57,2024-07-05T00:00:00.000Z,Simulated
Minuwangoda,30.7,66,1001,7.58,2024-07-06T00:00:00.000Z,Simulated
Gampaha,27.4,93,1005,57.93,2024-07-06T00:00:00.000Z,Simulated
Ja-Ela,28.6,72,1008,49.11,2024-07-06T00:00:00.000Z,Simulated
Negombo,29.5,89,1005,53.71,2024-07-06T00:00:00.000Z,Simulated
Minuwangoda,27.5,69,1009,5.46,2024-07-07T00:00:00.000Z,Simulated
Gampaha,32.0,94,1006,22.18,2024-07-07T00:00:00.000Z,Simulated
Ja-Ela,30.8,88,1000,16.87,2024-07-07T00:00:00.000Z,Simulated
Negombo,28.0,68,1006,51.73,2024-07-07T00:00:00.000Z,Simulated
Minuwangoda,30.9,66,1007,19.81,2024-07-08T00:00:00.000Z,Simulated
Gampaha,27.9,66,1008,56.71,2024-07-08T00:00:00.000Z,Simulated
Ja-Ela,27.1,71,1006,63.66,2024-07-08T00:00:00.000Z,Simulated
Negombo,29.1,93,1008,62.71,2024-07-08T00:00:00.000Z,Simulated
Minuwangoda,29.3,79,1005,6.21,2024-07-09T00:00:00.000Z,Simulated
Gampaha,28.2,65,1006,42.85,2024-07-09T00:00:00.000Z,Simulated
Ja-Ela,26.6,90,1007,60.20,2024-07-09T00:00:00.000Z,Simulated
Negombo,27.6,93,1009,40.03,2024-07-09T00:00:00.000Z,Simulated
Minuwangoda,30.7,85,1001,68.41,2024-07-10T00:00:00.000Z,Simulated
Gampaha,30.5,73,1008,14.17,2024-07-10T00:00:00.000Z,Simulated
Ja-Ela,26.1,78,1005,5.68,2024-07-10T00:00:00.000Z,Simulated
Negombo,27.0,93,1005,63.84,2024-07-10T00:00:00.000Z,Simulated
Minuwangoda,31.4,95,1009,63.85,2024-07-11T00:00:00.000Z,Simulated
Gampaha,29.9,92,1004,8.89,2024-07-11T00:00:00.000Z,Simulated
Ja-Ela,31.7,71,1007,13.95,2024-07-11T00:00:00.000Z,Simulated
Negombo,26.3,68,1003,35.30,2024-07-11T00:00:00.000Z,Simulated
Minuwangoda,30.1,70,1008,3.94,2024-07-12T00:00:00.000Z,Simulated
Gampaha,27.8,80,1003,71.13,2024-07-12T00:00:00.000Z,Simulated
Ja-Ela,31.3,75,1009,32.73,2024-07-12T00:00:00.000Z,Simulated
Negombo,27.4,77,1004,29.24,2024-07-12T00:00:00.000Z,Simulated
Minuwangoda,27.1,90,1002,14.50,2024-07-13T00:00:00.000Z,Simulated
Gampaha,28.7,94,1008,60.41,2024-07-13T00:00:00.000Z,Simulated
Ja-Ela,26.4,65,1007,63.33,2024-07-13T00:00:00.000Z,Simulated
Negombo,26.1,72,1001,63.26,2024-07-13T00:00:00.000Z,Simulated
Minuwangoda,29.2,81,1004,16.07,2024-07-14T00:00:00.000Z,Simulated
Gampaha,30.8,83,1005,70.68,2024-07-14T00:00:00.000Z,Simulated
Ja-Ela,26.5,68,1010,76.09,2024-07-14T00:00:00.000Z,Simulated
Negombo,30.8,71,1007,1.54,2024-07-14T00:00:00.000Z,Simulated
Minuwangoda,29.6,89,1003,67.44,2024-07-15T00:00:00.000Z,Simulated
Gampaha,30.6,86,1000,7.32,2024-07-15T00:00:00.000Z,Simulated
Ja-Ela,27.1,72,1005,23.82,2024-07-15T00:00:00.000Z,Simulated
Negombo,31.3,90,1009,24.97,2024-07-15T00:00:00.000Z,Simulated
Minuwangoda,29.3,94,1001,55.35,2024-07-16T00:00:00.000Z,Simulated
Gampaha,27.0,86,1000,17.78,2024-07-16T00:00:00.000Z,Simulated
Ja-Ela,29.3,65,1003,13.32,2024-07-16T00:00:00.000Z,Simulated
Negombo,26.1,70,1007,5.99,2024-07-16T00:00:00.000Z,Simulated
Minuwangoda,26.7,90,1006,35.28,2024-07-17T00:00:00.000Z,Simulated
Gampaha,27.9,71,1009,29.18,2024-07-17T00:00:00.000Z,Simulated
Ja-Ela,26.8,85,1007,66.81,2024-07-17T00:00:00.000Z,Simulated
Negombo,29.9,82,1001,39.71,2024-07-17T00:00:00.000Z,Simulated
Minuwangoda,27.8,77,1007,19.89,2024-07-18T00:00:00.000Z,Simulated
Gampaha,31.4,84,1006,62.18,2024-07-18T00:00:00.000Z,Simulated
Ja-Ela,26.1,94,1002,62.70,2024-07-18T00:00:00.000Z,Simulated
Negombo,30.5,79,1003,55.71,2024-07-18T00:00:00.000Z,Simulated
Minuwangoda,30.2,93,1009,6.29,2024-07-19T00:00:00.000Z,Simulated
Gampaha,26.7,82,1006,14.65,2024-07-19T00:00:00.000Z,Simulated
Ja-Ela,31.6,78,1001,1.61,2024-07-19T00:00:00.000Z,Simulated
Negombo,26.1,78,1008,53.96,2024-07-19T00:00:00.000Z,Simulated
Minuwangoda,28.4,88,1004,33.16,2024-07-20T00:00:00.000Z,Simulated
Gampaha,26.3,66,1009,67.12,2024-07-20T00:00:00.000Z,Simulated
Ja-Ela,26.5,71,1006,52.41,2024-07-20T00:00:00.000Z,Simulated
Negombo,30.1,84,1003,35.35,2024-07-20T00:00:00.000Z,Simulated
Minuwangoda,29.2,73,1007,20.56,2024-07-21T00:00:00.000Z,Simulated
Gampaha,29.5,68,1008,3.90,2024-07-21T00:00:00.000Z,Simulated
Ja-Ela,27.5,74,1002,13.74,2024-07-21T00:00:00.000Z,Simulated
Negombo,27.2,65,1007,59.98,2024-07-21T00:00:00.000Z,Simulated
Minuwangoda,29.5,66,1005,16.65,2024-07-22T00:00:00.000Z,Simulated
Gampaha,27.2,73,1004,39.33,2024-07-22T00:00:00.000Z,Simulated
Ja-Ela,28.2,92,1002,12.21,2024-07-22T00:00:00.000Z,Simulated
Negombo,30.4,68,1004,67.07,2024-07-22T00:00:00.000Z,Simulated
Minuwangoda,31.4,86,1009,13.75,2024-07-23T00:00:00.000Z,Simulated
Gampaha,26.2,70,1008,12.84,2024-07-23T00:00:00.000Z,Simulated
Ja-Ela,29.0,83,1002,32.37,2024-07-23T00:00:00.000Z,Simulated
Negombo,27.2,68,1007,64.38,2024-07-23T00:00:00.000Z,Simulated
Minuwangoda,28.7,94,1005,70.41,2024-07-24T00:00:00.000Z,Simulated
Gampaha,26.7,93,1004,8.00,2024-07-24T00:00:00.000Z,Simulated
Ja-Ela,27.8,92,1008,35.38,2024-07-24T00:00:00.000Z,Simulated
Negombo,31.3,78,1004,6.19,2024-07-24T00:00:00.000Z,Simulated
Minuwangoda,26.4,68,1001,41.77,2024-07-25T00:00:00.000Z,Simulated
Gampaha,28.1,76,1008,4.21,2024-07-25T00:00:00.000Z,Simulated
Ja-Ela,29.9,78,1006,18.75,2024-07-25T00:00:00.000Z,Simulated
Negombo,31.9,88,1004,40.03,2024-07-25T00:00:00.000Z,Simulated
Minuwangoda,31.6,70,1003,43.83,2024-07-26T00:00:00.000Z,Simulated
Gampaha,27.2,72,1004,47.37,2024-07-26T00:00:00.000Z,Simulated
Ja-Ela,27.3,67,1001,70.11,2024-07-26T00:00:00.000Z,Simulated
Negombo,29.4,87,1002,54.71,2024-07-26T00:00:00.000Z,Simulated
Minuwangoda,29.0,70,1003,69.40,2024-07-27T00:00:00.000Z,Simulated
Gampaha,31.5,87,1001,12.47,2024-07-27T00:00:00.000Z,Simulated
Ja-Ela,27.0,77,1003,50.19,2024-07-27T00:00:00.000Z,Simulated
Negombo,30.1,87,1010,44.56,2024-07-27T00:00:00.000Z,Simulated
Minuwangoda,28.0,68,1008,64.41,2024-07-28T00:00:00.000Z,Simulated
Gampaha,30.4,91,1006,18.02,2024-07-28T00:00:00.000Z,Simulated
Ja-Ela,29.5,86,1005,9.89,2024-07-28T00:00:00.000Z,Simulated
Negombo,27.4,91,1008,58.89,2024-07-28T00:00:00.000Z,Simulated
Minuwangoda,26.1,87,1007,47.36,2024-07-29T00:00:00.000Z,Simulated
Gampaha,30.9,93,1002,36.28,2024-07-29T00:00:00.000Z,Simulated
Ja-Ela,27.8,77,1001,7.54,2024-07-29T00:00:00.000Z,Simulated
Negombo,28.7,94,1007,22.91,2024-07-29T00:00:00.000Z,Simulated
Minuwangoda,31.1,87,1009,45.23,2024-07-30T00:00:00.000Z,Simulated
Gampaha,30.1,93,1005,54.48,2024-07-30T00:00:00.000Z,Simulated
Ja-Ela,31.8,85,1005,35.82,2024-07-30T00:00:00.000Z,Simulated
Negombo,28.5,67,1008,15.60,2024-07-30T00:00:00.000Z,Simulated
Minuwangoda,30.1,92,1000,35.33,2024-07-31T00:00:00.000Z,Simulated
Gampaha,28.6,83,1007,45.09,2024-07-31T00:00:00.000Z,Simulated
Ja-Ela,31.1,84,1005,53.02,2024-07-31T00:00:00.000Z,Simulated
Negombo,27.7,82,1005,35.73,2024-07-31T00:00:00.000Z,Simulated
Minuwangoda,31.5,69,1006,44.19,2024-08-01T00:00:00.000Z,Simulated
Gampaha,30.0,66,1009,19.45,2024-08-01T00:00:00.000Z,Simulated
Ja-Ela,26.6,81,1010,14.37,2024-08-01T00:00:00.000Z,Simulated
Negombo,28.2,91,1003,39.86,2024-08-01T00:00:00.000Z,Simulated
Minuwangoda,27.5,88,1006,7.38,2024-08-02T00:00:00.000Z,Simulated
Gampaha,31.9,88,1008,74.50,2024-08-02T00:00:00.000Z,Simulated
Ja-Ela,29.5,73,1009,5.98,2024-08-02T00:00:00.000Z,Simulated
Negombo,30.9,81,1009,42.00,2024-08-02T00:00:00.000Z,Simulated
Minuwangoda,31.6,84,1004,31.52,2024-08-03T00:00:00.000Z,Simulated
Gampaha,26.9,92,1006,18.80,2024-08-03T00:00:00.000Z,Simulated
Ja-Ela,30.9,90,1002,19.90,2024-08-03T00:00:00.000Z,Simulated
Negombo,28.4,88,1000,61.87,2024-08-03T00:00:00.000Z,Simulated
Minuwangoda,31.3,69,1004,4.11,2024-08-04T00:00:00.000Z,Simulated
Gampaha,30.0,72,1001,69.05,2024-08-04T00:00:00.000Z,Simulated
Ja-Ela,27.1,89,1008,9.04,2024-08-04T00:00:00.000Z,Simulated
Negombo,29.0,82,1005,58.78,2024-08-04T00:00:00.000Z,Simulated
Minuwangoda,28.8,67,1007,65.99,2024-08-05T00:00:00.000Z,Simulated
Gampaha,27.8,76,1001,7.53,2024-08-05T00:00:00.000Z,Simulated
Ja-Ela,30.4,87,1010,74.91,2024-08-05T00:00:00.000Z,Simulated
Negombo,29.4,79,1003,79.71,2024-08-05T00:00:00.000Z,Simulated
Minuwangoda,30.6,94,1003,74.62,2024-08-06T00:00:00.000Z,Simulated
Gampaha,30.2,85,1002,29.41,2024-08-06T00:00:00.000Z,Simulated
Ja-Ela,29.3,90,1000,34.03,2024-08-06T00:00:00.000Z,Simulated
Negombo,30.8,87,1004,15.34,2024-08-06T00:00:00.000Z,Simulated
Minuwangoda,28.6,68,1002,78.13,2024-08-07T00:00:00.000Z,Simulated
Gampaha,30.1,94,1004,61.64,2024-08-07T00:00:00.000Z,Simulated
Ja-Ela,32.0,92,1003,25.06,2024-08-07T00:00:00.000Z,Simulated
Negombo,29.3,78,1009,1.56,2024-08-07T00:00:00.000Z,Simulated
Minuwangoda,26.8,71,1000,77.97,2024-08-08T00:00:00.000Z,Simulated
Gampaha,26.3,84,1002,2.77,2024-08-08T00:00:00.000Z,Simulated
Ja-Ela,30.6,93,1006,14.02,2024-08-08T00:00:00.000Z,Simulated
Negombo,27.0,81,1002,64.96,2024-08-08T00:00:00.000Z,Simulated
Minuwangoda,27.9,80,1006,36.07,2024-08-09T00:00:00.000Z,Simulated
Gampaha,28.1,94,1003,4.71,2024-08-09T00:00:00.000Z,Simulated
Ja-Ela,26.3,79,1002,12.36,2024-08-09T00:00:00.000Z,Simulated
Negombo,26.8,85,1001,76.14,2024-08-09T00:00:00.000Z,Simulated
Minuwangoda,29.3,79,1005,18.36,2024-08-10T00:00:00.000Z,Simulated
Gampaha,26.7,86,1006,17.40,2024-08-10T00:00:00.000Z,Simulated
Ja-Ela,30.0,88,1009,23.85,2024-08-10T00:00:00.000Z,Simulated
Negombo,31.0,71,1005,65.72,2024-08-10T00:00:00.000Z,Simulated
Minuwangoda,28.9,89,1004,4.42,2024-08-11T00:00:00.000Z,Simulated
Gampaha,27.6,72,1001,73.91,2024-08-11T00:00:00.000Z,Simulated
Ja-Ela,30.9,88,1008,33.29,2024-08-11T00:00:00.000Z,Simulated
Negombo,27.3,79,1006,17.10,2024-08-11T00:00:00.000Z,Simulated
Minuwangoda,29.1,88,1003,66.02,2024-08-12T00:00:00.000Z,Simulated
Gampaha,27.7,67,1007,1.93,2024-08-12T00:00:00.000Z,Simulated
Ja-Ela,30.2,67,1000,47.63,2024-08-12T00:00:00.000Z,Simulated
Negombo,29.2,84,1010,53.87,2024-08-12T00:00:00.000Z,Simulated
Minuwangoda,28.5,77,1001,73.81,2024-08-13T00:00:00.000Z,Simulated
Gampaha,31.8,75,1005,52.33,2024-08-13T00:00:00.000Z,Simulated
Ja-Ela,31.0,92,1007,69.57,2024-08-13T00:00:00.000Z,Simulated
Negombo,31.3,90,1006,39.73,2024-08-13T00:00:00.000Z,Simulated
Minuwangoda,31.2,94,1005,65.95,2024-08-14T00:00:00.000Z,Simulated
Gampaha,30.9,74,1004,3.23,2024-08-14T00:00:00.000Z,Simulated
Ja-Ela,28.9,72,1002,63.16,2024-08-14T00:00:00.000Z,Simulated
Negombo,30.2,77,1002,18.43,2024-08-14T00:00:00.000Z,Simulated
Minuwangoda,28.3,86,1005,40.34,2024-08-15T00:00:00.000Z,Simulated
Gampaha,30.0,83,1010,42.46,2024-08-15T00:00:00.000Z,Simulated
Ja-Ela,30.4,87,1006,77.13,2024-08-15T00:00:00.000Z,Simulated
Negombo,31.5,74,1001,78.15,2024-08-15T00:00:00.000Z,Simulated
Minuwangoda,30.9,81,1007,43.26,2024-08-16T00:00:00.000Z,Simulated
Gampaha,30.0,90,1009,77.38,2024-08-16T00:00:00.000Z,Simulated
Ja-Ela,31.9,69,1001,33.61,2024-08-16T00:00:00.000Z,Simulated
Negombo,29.6,75,1005,42.03,2024-08-16T00:00:00.000Z,Simulated
Minuwangoda,26.2,78,1009,49.48,2024-08-17T00:00:00.000Z,Simulated
Gampaha,31.5,72,1003,51.57,2024-08-17T00:00:00.000Z,Simulated
Ja-Ela,28.4,82,1008,21.66,2024-08-17T00:00:00.000Z,Simulated
Negombo,28.0,93,1010,49.54,2024-08-17T00:00:00.000Z,Simulated
Minuwangoda,27.5,66,1009,45.72,2024-08-18T00:00:00.000Z,Simulated
Gampaha,29.5,95,1010,22.23,2024-08-18T00:00:00.000Z,Simulated
Ja-Ela,28.2,89,1009,27.18,2024-08-18T00:00:00.000Z,Simulated
Negombo,29.8,75,1000,40.99,2024-08-18T00:00:00.000Z,Simulated
Minuwangoda,31.7,67,1009,7.88,2024-08-19T00:00:00.000Z,Simulated
Gampaha,30.6,69,1008,38.02,2024-08-19T00:00:00.000Z,Simulated
Ja-Ela,28.3,94,1009,64.81,2024-08-19T00:00:00.000Z,Simulated
Negombo,31.9,73,1009,64.38,2024-08-19T00:00:00.000Z,Simulated
Minuwangoda,31.8,88,1003,72.70,2024-08-20T00:00:00.000Z,Simulated
Gampaha,27.6,93,1009,79.82,2024-08-20T00:00:00.000Z,Simulated
Ja-Ela,29.1,93,1007,32.57,2024-08-20T00:00:00.000Z,Simulated
Negombo,27.6,81,1001,75.71,2024-08-20T00:00:00.000Z,Simulated
Minuwangoda,26.8,68,1010,50.97,2024-08-21T00:00:00.000Z,Simulated
Gampaha,28.1,66,1002,28.03,2024-08-21T00:00:00.000Z,Simulated
Ja-Ela,28.0,76,1001,20.68,2024-08-21T00:00:00.000Z,Simulated
Negombo,30.6,95,1009,60.27,2024-08-21T00:00:00.000Z,Simulated
Minuwangoda,32.0,90,1005,28.71,2024-08-22T00:00:00.000Z,Simulated
Gampaha,27.1,66,1008,30.15,2024-08-22T00:00:00.000Z,Simulated
Ja-Ela,27.1,83,1004,54.22,2024-08-22T00:00:00.000Z,Simulated
Negombo,29.3,67,1001,9.64,2024-08-22T00:00:00.000Z,Simulated
Minuwangoda,32.0,92,1009,61.53,2024-08-23T00:00:00.000Z,Simulated
Gampaha,26.3,70,1007,61.08,2024-08-23T00:00:00.000Z,Simulated
Ja-Ela,31.3,67,1003,49.94,2024-08-23T00:00:00.000Z,Simulated
Negombo,26.6,92,1005,73.11,2024-08-23T00:00:00.000Z,Simulated
Minuwangoda,30.4,79,1005,50.62,2024-08-24T00:00:00.000Z,Simulated
Gampaha,29.0,82,1007,28.56,2024-08-24T00:00:00.000Z,Simulated
Ja-Ela,30.5,71,1001,8.89,2024-08-24T00:00:00.000Z,Simulated
Negombo,28.1,89,1006,5.86,2024-08-24T00:00:00.000Z,Simulated
Minuwangoda,31.0,70,1001,36.06,2024-08-25T00:00:00.000Z,Simulated
Gampaha,27.1,94,1008,35.15,2024-08-25T00:00:00.000Z,Simulated
Ja-Ela,26.7,67,1001,69.31,2024-08-25T00:00:00.000Z,Simulated
Negombo,30.0,91,1002,24.23,2024-08-25T00:00:00.000Z,Simulated
Minuwangoda,28.2,69,1001,55.74,2024-08-26T00:00:00.000Z,Simulated
Gampaha,28.9,68,1010,11.84,2024-08-26T00:00:00.000Z,Simulated
Ja-Ela,31.8,91,1004,68.59,2024-08-26T00:00:00.000Z,Simulated
Negombo,30.2,79,1010,49.73,2024-08-26T00:00:00.000Z,Simulated
Minuwangoda,28.9,71,1002,17.91,2024-08-27T00:00:00.000Z,Simulated
Gampaha,31.2,81,1010,3.15,2024-08-27T00:00:00.000Z,Simulated
Ja-Ela,29.0,83,1005,40.97,2024-08-27T00:00:00.000Z,Simulated
Negombo,26.0,91,1006,35.73,2024-08-27T00:00:00.000Z,Simulated
Minuwangoda,27.2,77,1002,2.98,2024-08-28T00:00:00.000Z,Simulated
Gampaha,31.3,86,1001,32.43,2024-08-28T00:00:00.000Z,Simulated
Ja-Ela,28.4,84,1003,30.60,2024-08-28T00:00:00.000Z,Simulated
Negombo,28.7,68,1010,29.69,2024-08-28T00:00:00.000Z,Simulated
Minuwangoda,28.8,67,1007,19.11,2024-08-29T00:00:00.000Z,Simulated
Gampaha,26.3,91,1007,67.84,2024-08-29T00:00:00.000Z,Simulated
Ja-Ela,26.8,89,1003,16.11,2024-08-29T00:00:00.000Z,Simulated
Negombo,30.2,71,1002,56.61,2024-08-29T00:00:00.000Z,Simulated
Minuwangoda,31.0,86,1006,11.51,2024-08-30T00:00:00.000Z,Simulated
Gampaha,29.9,74,1000,14.34,2024-08-30T00:00:00.000Z,Simulated
Ja-Ela,31.2,70,1009,67.57,2024-08-30T00:00:00.000Z,Simulated
Negombo,27.1,68,1009,69.98,2024-08-30T00:00:00.000Z,Simulated
Minuwangoda,27.0,91,1005,47.49,2024-08-31T00:00:00.000Z,Simulated
Gampaha,31.2,78,1006,27.11,2024-08-31T00:00:00.000Z,Simulated
Ja-Ela,28.1,78,1009,2.07,2024-08-31T00:00:00.000Z,Simulated
Negombo,30.0,73,1008,24.74,2024-08-31T00:00:00.000Z,Simulated
Minuwangoda,31.1,73,1007,0.39,2024-09-01T00:00:00.000Z,Simulated
Gampaha,30.0,95,1000,76.92,2024-09-01T00:00:00.000Z,Simulated
Ja-Ela,26.9,76,1006,13.24,2024-09-01T00:00:00.000Z,Simulated
Negombo,31.0,68,1005,74.46,2024-09-01T00:00:00.000Z,Simulated
Minuwangoda,31.2,69,1007,6.45,2024-09-02T00:00:00.000Z,Simulated
Gampaha,31.6,88,1004,29.14,2024-09-02T00:00:00.000Z,Simulated
Ja-Ela,26.3,89,1009,55.29,2024-09-02T00:00:00.000Z,Simulated
Negombo,26.5,76,1002,31.23,2024-09-02T00:00:00.000Z,Simulated
Minuwangoda,28.1,71,1001,46.45,2024-09-03T00:00:00.000Z,Simulated
Gampaha,30.2,69,1003,57.10,2024-09-03T00:00:00.000Z,Simulated
Ja-Ela,26.8,85,1002,42.24,2024-09-03T00:00:00.000Z,Simulated
Negombo,30.9,86,1006,62.03,2024-09-03T00:00:00.000Z,Simulated
Minuwangoda,30.6,75,1005,51.33,2024-09-04T00:00:00.000Z,Simulated
Gampaha,27.0,80,1001,2.48,2024-09-04T00:00:00.000Z,Simulated
Ja-Ela,26.5,95,1000,27.74,2024-09-04T00:00:00.000Z,Simulated
Negombo,31.6,73,1007,22.92,2024-09-04T00:00:00.000Z,Simulated
Minuwangoda,31.6,80,1002,1.72,2024-09-05T00:00:00.000Z,Simulated
Gampaha,27.6,91,1007,12.89,2024-09-05T00:00:00.000Z,Simulated
Ja-Ela,28.2,90,1000,51.08,2024-09-05T00:00:00.000Z,Simulated
Negombo,29.7,87,1006,22.28,2024-09-05T00:00:00.000Z,Simulated
Minuwangoda,28.9,74,1009,28.75,2024-09-06T00:00:00.000Z,Simulated
Gampaha,28.3,85,1000,1.04,2024-09-06T00:00:00.000Z,Simulated
Ja-Ela,31.7,92,1003,78.35,2024-09-06T00:00:00.000Z,Simulated
Negombo,31.1,70,1003,2.32,2024-09-06T00:00:00.000Z,Simulated
Minuwangoda,27.2,78,1002,62.23,2024-09-07T00:00:00.000Z,Simulated
Gampaha,29.2,81,1008,39.23,2024-09-07T00:00:00.000Z,Simulated
Ja-Ela,26.5,69,1005,7.07,2024-09-07T00:00:00.000Z,Simulated
Negombo,31.8,79,1008,70.85,2024-09-07T00:00:00.000Z,Simulated
Minuwangoda,29.0,90,1001,34.70,2024-09-08T00:00:00.000Z,Simulated
Gampaha,30.5,94,1002,46.34,2024-09-08T00:00:00.000Z,Simulated
Ja-Ela,31.4,83,1008,22.08,2024-09-08T00:00:00.000Z,Simulated
Negombo,31.5,89,1002,62.92,2024-09-08T00:00:00.000Z,Simulated
Minuwangoda,31.3,69,1010,18.01,2024-09-09T00:00:00.000Z,Simulated
Gampaha,29.9,74,1007,52.08,2024-09-09T00:00:00.000Z,Simulated
Ja-Ela,27.8,74,1009,43.97,2024-09-09T00:00:00.000Z,Simulated
Negombo,27.3,93,1008,52.13,2024-09-09T00:00:00.000Z,Simulated
Minuwangoda,29.7,74,1007,6.85,2024-09-10T00:00:00.000Z,Simulated
Gampaha,29.1,66,1003,43.63,2024-09-10T00:00:00.000Z,Simulated
Ja-Ela,31.4,74,1005,33.79,2024-09-10T00:00:00.000Z,Simulated
Negombo,30.3,85,1010,4.48,2024-09-10T00:00:00.000Z,Simulated
Minuwangoda,30.6,92,1007,33.64,2024-09-11T00:00:00.000Z,Simulated
Gampaha,30.2,75,1007,53.43,2024-09-11T00:00:00.000Z,Simulated
Ja-Ela,31.1,95,1007,20.99,2024-09-11T00:00:00.000Z,Simulated
Negombo,27.6,93,1005,46.59,2024-09-11T00:00:00.000Z,Simulated
Minuwangoda,26.7,81,1005,38.28,2024-09-12T00:00:00.000Z,Simulated
Gampaha,30.0,68,1008,6.23,2024-09-12T00:00:00.000Z,Simulated
Ja-Ela,29.2,69,1004,8.78,2024-09-12T00:00:00.000Z,Simulated
Negombo,30.8,89,1003,71.70,2024-09-12T00:00:00.000Z,Simulated
Minuwangoda,26.8,69,1006,25.89,2024-09-13T00:00:00.000Z,Simulated
Gampaha,31.4,81,1004,75.12,2024-09-13T00:00:00.000Z,Simulated
Ja-Ela,28.2,78,1008,30.07,2024-09-13T00:00:00.000Z,Simulated
Negombo,30.7,80,1010,10.67,2024-09-13T00:00:00.000Z,Simulated
Minuwangoda,26.3,67,1005,46.52,2024-09-14T00:00:00.000Z,Simulated
Gampaha,28.4,79,1009,23.97,2024-09-14T00:00:00.000Z,Simulated
Ja-Ela,28.0,72,1008,12.76,2024-09-14T00:00:00.000Z,Simulated
Negombo,27.7,73,1004,16.13,2024-09-14T00:00:00.000Z,Simulated
Minuwangoda,29.8,94,1005,60.02,2024-09-15T00:00:00.000Z,Simulated
Gampaha,29.6,83,1001,65.69,2024-09-15T00:00:00.000Z,Simulated
Ja-Ela,28.9,76,1004,20.61,2024-09-15T00:00:00.000Z,Simulated
Negombo,27.6,76,1003,69.71,2024-09-15T00:00:00.000Z,Simulated
Minuwangoda,29.8,76,1001,60.34,2024-09-16T00:00:00.000Z,Simulated
Gampaha,26.3,88,1002,25.76,2024-09-16T00:00:00.000Z,Simulated
Ja-Ela,31.7,73,1007,76.54,2024-09-16T00:00:00.000Z,Simulated
Negombo,31.5,85,1007,33.83,2024-09-16T00:00:00.000Z,Simulated
Minuwangoda,31.2,92,1003,37.01,2024-09-17T00:00:00.000Z,Simulated
Gampaha,28.8,71,1003,64.89,2024-09-17T00:00:00.000Z,Simulated
Ja-Ela,28.9,76,1006,2.44,2024-09-17T00:00:00.000Z,Simulated
Negombo,26.5,76,1006,29.00,2024-09-17T00:00:00.000Z,Simulated
Minuwangoda,27.3,92,1006,5.35,2024-09-18T00:00:00.000Z,Simulated
Gampaha,27.9,95,1002,0.88,2024-09-18T00:00:00.000Z,Simulated
Ja-Ela,30.7,70,1004,19.91,2024-09-18T00:00:00.000Z,Simulated
Negombo,30.5,90,1007,16.97,2024-09-18T00:00:00.000Z,Simulated
Minuwangoda,29.3,79,1009,65.48,2024-09-19T00:00:00.000Z,Simulated
Gampaha,26.3,68,1001,59.33,2024-09-19T00:00:00.000Z,Simulated
Ja-Ela,26.2,76,1008,66.80,2024-09-19T00:00:00.000Z,Simulated
Negombo,29.4,82,1005,4.72,2024-09-19T00:00:00.000Z,Simulated
Minuwangoda,28.7,89,1007,29.09,2024-09-20T00:00:00.000Z,Simulated
Gampaha,31.7,83,1009,34.96,2024-09-20T00:00:00.000Z,Simulated
Ja-Ela,28.6,81,1009,6.96,2024-09-20T00:00:00.000Z,Simulated
Negombo,28.2,88,1005,67.83,2024-09-20T00:00:00.000Z,Simulated
Minuwangoda,28.7,73,1007,5.51,2024-09-21T00:00:00.000Z,Simulated
Gampaha,29.1,71,1004,52.50,2024-09-21T00:00:00.000Z,Simulated
Ja-Ela,30.5,72,1003,6.55,2024-09-21T00:00:00.000Z,Simulated
Negombo,28.4,74,1006,59.12,2024-09-21T00:00:00.000Z,Simulated
Minuwangoda,28.6,74,1001,66.51,2024-09-22T00:00:00.000Z,Simulated
